SMF,length,rail,備考
4_to_2Rail.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
2_to_4Rail_Konkuri.smf,8,未使用(rail),
4_to_2Rail_Konkuri.smf,8,RAIL002(rail)|RAIL003(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL012(rail)|RAIL020(rail)|RAIL021(rail),
hankyu_4Rail_st00.smf,16,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),走れるレールは2、3番線のみ
hankyu_4Rail_st01.smf,32,RAIL002(rail)|RAIL003(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL012(rail)|RAIL020(rail)|RAIL021(rail),1番線(100)、2番線(0)、3番線(200)、4番線(300)
2Rail_Konkuri_N.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),100のレール
2_to_4Rail_Konkuri2.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),単線レール
4_to_2Rail_Konkuri2.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),単線レール
2_to_4Rail_jk.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),単線レール
4Rail_jk.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
hankyu_sima_st.smf,32,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
4_to_simast.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),単線レール
st_to_2Rail_konkuri.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),走れるレールなし
1Rail_25_Jari.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
2Rail_to_toyonaka.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),走れるレールなし
2Rail_toyonaka.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
1Rail_konkuri_w.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
st_w_konkuri.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),走れるレールなし
2Rail_konkuri_25.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
yodo_tetu00.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
line00_25.smf,1,RAIL002(rail)|RAIL003(rail)|RAIL004(rail)|RAIL005(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL012(rail)|RAIL013(rail)|RAIL020(rail)|RAIL021(rail)|RAIL022(rail),25の架線
kouka_car03.smf,0,未使用(Set3DObj),
kouka_car04.smf,0,RAIL002(Set3DObj)|RAIL004(Set3DObj)|RAIL005(Set3DObj)|RAIL006(Set3DObj)|RAIL007(Set3DObj)|RAIL008(Set3DObj)|RAIL010(Set3DObj)|RAIL011(Set3DObj)|RAIL013(Set3DObj)|RAIL020(Set3DObj)|RAIL022(Set3DObj),
monorail.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),走れるレールなし
1Rail_50_Jari.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
1Rail_Jari.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail)|CHARSEL3D(Set3DObj),100のレール
2Rail_jari_wn.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),100のレール
2Rail50_jari_wn.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
kasenchu_t00.smf,1,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
kasenchu_t01.smf,1,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
kasenchu_t02.smf,1,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
2_to_3rail_sone.smf,8,未使用(rail),走れるレールなし
3rail_sone.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),走れるレールなし
to_4rail_sone.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),走れるレールなし
6Rail_50.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),走れるレールは左から3～5番目のみ
6_to_9_Jari.smf,16,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),走れるレールなし
umeda_st.smf,4,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),走れるレールは5~7番線のみ
amb_mdl_kodate00.smf,8,RAIL002(Set3DObj)|RAIL004(Set3DObj)|RAIL005(Set3DObj)|RAIL006(Set3DObj)|RAIL007(Set3DObj)|RAIL008(Set3DObj)|RAIL010(Set3DObj)|RAIL011(Set3DObj)|RAIL013(Set3DObj)|RAIL020(Set3DObj)|RAIL022(Set3DObj),
amb_mdl_mans00.smf,8,RAIL002(Set3DObj)|RAIL004(Set3DObj)|RAIL006(Set3DObj)|RAIL007(Set3DObj)|RAIL008(Set3DObj)|RAIL010(Set3DObj)|RAIL011(Set3DObj)|RAIL020(Set3DObj),
amb_mdl_bill_00.smf,8,RAIL002(Set3DObj)|RAIL004(Set3DObj)|RAIL006(Set3DObj)|RAIL007(Set3DObj)|RAIL008(Set3DObj)|RAIL010(Set3DObj)|RAIL011(Set3DObj)|RAIL020(Set3DObj),
amb_mdl_bill_01.smf,8,未使用(Set3DObj),
kasenchu_2st.smf,1,RAIL002(rail)|RAIL003(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL012(rail)|RAIL020(rail)|RAIL021(rail),
4Rail_konkuri_only.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
kasenchu_3rail_konkuri.smf,1,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
kasenchu_4rail_konkuri.smf,1,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
2Rail_Tekkyou.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
kasenchu_tekkyou.smf,1,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
hirai.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),走れるレールなし
monorail2.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),走れるレールなし
kasenchu_6rail.smf,1,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
hibarigaoka_ue.smf,0,RAIL002(Set3DObj)|RAIL004(Set3DObj)|RAIL006(Set3DObj)|RAIL007(Set3DObj)|RAIL008(Set3DObj)|RAIL010(Set3DObj)|RAIL011(Set3DObj)|RAIL020(Set3DObj),
hotarugaike_ue.smf,0,RAIL002(Set3DObj)|RAIL004(Set3DObj)|RAIL006(Set3DObj)|RAIL007(Set3DObj)|RAIL008(Set3DObj)|RAIL010(Set3DObj)|RAIL011(Set3DObj)|RAIL020(Set3DObj),
2Rail_jari_l_in.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
2Rail_50_in.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
kasenchu_3huku.smf,1,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
tekkyou_huchi.smf,0,RAIL002(Set3DObj)|RAIL004(Set3DObj)|RAIL006(Set3DObj)|RAIL007(Set3DObj)|RAIL008(Set3DObj)|RAIL010(Set3DObj)|RAIL011(Set3DObj)|RAIL020(Set3DObj),
2Rail_Konkuri_kyo.smf,8,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
2Rail_jari_glass200.smf,8,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
humikiri_kyo.smf,8,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),25のレール
hankyu_sima_st_kyo.smf,8,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
2Rail_Konkuri_kyo2.smf,8,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
2Rail_Kyo_KonkuriOnly.smf,8,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),走れるレールなし
1Rail_Kyo.smf,8,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
hankyu_taimen_st_kyo.smf,32,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
kasenchu_kyoto01.smf,1,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
2Rail_jari_glass.smf,8,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
line_200.smf,1,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
2Rail_Konkuri_kyo_200.smf,8,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
2Rail_Shinkan_00.smf,8,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
2Rail_Shinkan_01.smf,8,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
kasenchu_shinkan_00.smf,1,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
2Rail_Kyo_Tekkyou.smf,8,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
bg_kyo00.smf,8,RAIL003(Set3DObj)|RAIL012(Set3DObj)|RAIL021(Set3DObj),
bg_kyo01.smf,8,RAIL003(Set3DObj)|RAIL012(Set3DObj)|RAIL021(Set3DObj),
bg_kyo02.smf,8,RAIL003(Set3DObj)|RAIL012(Set3DObj)|RAIL021(Set3DObj),
2Rail_Konkuri_kyo_100.smf,8,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
2Rail_Kyo_3.smf,8,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
2Rail_Kyo_4.smf,8,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
4Rail_JR.smf,8,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
4Rail_JR_200.smf,8,RAIL003(rail)|RAIL012(rail)|RAIL021(rail),
takara_st_uv.smf,8,RAIL004(rail),走れるレールは2~4番線のみ。1番線に阪急8200系あり
k_jari_2Rail50.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_ro_2Rail.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),100のレール
k_ro_2Rail50.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_ro_2Rail25_only.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_ro_kasen.smf,1,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),100の架線
k_ro_kasen50.smf,1,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_ro_kasenchu.smf,1,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_jari_2Rail_glass.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),100のレール
k_jari_2Rail50_glass.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_kasenchu00.smf,1,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_kasenchu01.smf,1,未使用(rail),
k_white.smf,0,未使用(Set3DObj),
k_humikiri25_0.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_humikiri25_1.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_jari_2Rail25.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_kujoyama_st.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_yamashina_st.smf,10,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_shinomiya_st.smf,10,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_1Rail25.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_shinomiya_3Rail.smf,4,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),走れるレールは両端のレールのみ
k_1Rail50.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_sanjou_st.smf,4,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_mine.smf,0,RAIL005(Set3DObj)|RAIL013(Set3DObj)|RAIL022(Set3DObj),
komike_00.smf,8,未使用(rail),
komike_04.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
komike_02.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
komike_03.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_bill00.smf,8,RAIL005(Set3DObj)|RAIL013(Set3DObj)|RAIL022(Set3DObj),
k_bill01.smf,8,RAIL005(Set3DObj)|RAIL013(Set3DObj)|RAIL022(Set3DObj),
k_ro_2Rail_oudan.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_dentei.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_mount_rord.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),走れるレールなし
k_first_ro.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),走れるレールなし
k_misasagi.smf,16,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_bill02.smf,8,RAIL005(Set3DObj)|RAIL013(Set3DObj)|RAIL022(Set3DObj),
k_bg00.smf,8,RAIL005(Set3DObj)|RAIL013(Set3DObj)|RAIL022(Set3DObj),
k_biwako_00.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),走れるレールなし
k_biwako_01.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),走れるレールなし
k_ousaka.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_ousaka_in.smf,0,RAIL005(Set3DObj)|RAIL013(Set3DObj)|RAIL022(Set3DObj),
k_ousaka_out.smf,0,RAIL005(Set3DObj)|RAIL013(Set3DObj)|RAIL022(Set3DObj),
k_oiwake_st.smf,16,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_2Rail_Mnt.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_2Rail_Mnt50.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_2Rail_Mnt25.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_mount_rord_50.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),走れるレールなし
k_kokudo.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),走れるレールなし
k_kokudo50.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),走れるレールなし
k_kokudo25.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),走れるレールなし
k_kousoku.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),走れるレールなし
k_kousoku_last.smf,0,RAIL005(Set3DObj)|RAIL013(Set3DObj)|RAIL022(Set3DObj),
k_to_romen.smf,32,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_norm_rord.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),走れるレールなし
k_norm_rord100.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),走れるレールなし
k_kami_l.smf,16,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_kami_r.smf,16,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
k_bill04.smf,8,RAIL005(Set3DObj)|RAIL013(Set3DObj)|RAIL022(Set3DObj),
k_bill05.smf,8,RAIL005(Set3DObj)|RAIL013(Set3DObj)|RAIL022(Set3DObj),
k_kamisaka_romen.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),走れるレールなし
k_hamaotsu.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),走れるレールなし
k_ro_1Rail25.smf,8,RAIL005(rail)|RAIL013(rail)|RAIL022(rail),
signal_k5.smf,0,RAIL005(Set3DObj)|RAIL013(Set3DObj)|RAIL022(Set3DObj),
223_led.smf,0,BTL_01(Set3DObj),
OP_800_1.smf,0,BTL_03(Set3DObj)|OP_ANIME(Set3DObj),
keihan800_2.smf,0,BTL_03(Set3DObj),
OP_2000_1.smf,0,BTL_03(Set3DObj)|OP_ANIME(Set3DObj),
meron_car2010.smf,0,BTL_03(Set3DObj),
k_kaiten_cross.smf,0,BTL_03(Set3DObj),
k_kaiten_cross_b.smf,0,BTL_03(Set3DObj),
signal_chu.smf,0,OP_ANIME(Set3DObj)|SCENE3DOBJ(Set3DObj),
white_bord.smf,0,OP_ANIME(Set3DObj),
black_box.smf,0,OP_ANIME(Set3DObj),
OP_2000_2.smf,0,OP_ANIME(Set3DObj),
light_ton.smf,0,OP_ANIME(Set3DObj)|CHARSEL3D(Set3DObj),
OP_8200_1.smf,0,OP_ANIME(Set3DObj),
OP_8200_BEAM.smf,0,OP_ANIME(Set3DObj),
OP_800_JOINT.smf,0,OP_ANIME(Set3DObj),
OP_UV.smf,0,OP_ANIME(Set3DObj),
OP_UV_L.smf,0,OP_ANIME(Set3DObj),
OP_7001_BODY.smf,0,OP_ANIME(Set3DObj),
OP_7001_Door_R.smf,0,OP_ANIME(Set3DObj),
OP_7001_Door_L.smf,0,OP_ANIME(Set3DObj),
OP_7001_BEAM.smf,0,OP_ANIME(Set3DObj),
humi_ani_l.smf,0,SCENE3DOBJ(Set3DObj),
humi_ani_l_short.smf,0,SCENE3DOBJ(Set3DObj),
signal_yokoku.smf,0,SCENE3DOBJ(Set3DObj),
signal_blue.smf,0,SCENE3DOBJ(Set3DObj),
car_stop.smf,0,SCENE3DOBJ(Set3DObj),
sky.smf,0,SCENE3DOBJ(Set3DObj),D4_SKY.SMFと交換性なし
mount.smf,0,SCENE3DOBJ(Set3DObj),
k_gomi.smf,0,SCENE3DOBJ(Set3DObj),
k_gomi01.smf,0,SCENE3DOBJ(Set3DObj),
k_gomi02.smf,0,SCENE3DOBJ(Set3DObj),
k_gomi03.smf,0,SCENE3DOBJ(Set3DObj),
k_gomi04.smf,0,SCENE3DOBJ(Set3DObj),
k_gomi05.smf,0,SCENE3DOBJ(Set3DObj),
k_gomi06.smf,0,SCENE3DOBJ(Set3DObj),
k_gomi07.smf,0,SCENE3DOBJ(Set3DObj),
k_gomi08.smf,0,SCENE3DOBJ(Set3DObj),
k_gomi09.smf,0,SCENE3DOBJ(Set3DObj),
k_gomi10.smf,0,SCENE3DOBJ(Set3DObj),
k_gomi11.smf,0,SCENE3DOBJ(Set3DObj),
bomb.smf,0,SCENE3DOBJ(Set3DObj),
smoke.smf,0,SCENE3DOBJ(Set3DObj),
mine00.smf,0,SCENE3DOBJ(Set3DObj),
mine01.smf,0,SCENE3DOBJ(Set3DObj),
mine02.smf,0,SCENE3DOBJ(Set3DObj),
mine03.smf,0,SCENE3DOBJ(Set3DObj),
mine04.smf,0,SCENE3DOBJ(Set3DObj),
koui00.smf,0,SCENE3DOBJ(Set3DObj),
koui01.smf,0,SCENE3DOBJ(Set3DObj),
koui02.smf,0,SCENE3DOBJ(Set3DObj),
koui03.smf,0,SCENE3DOBJ(Set3DObj),
koui04.smf,0,SCENE3DOBJ(Set3DObj),
koui05.smf,0,SCENE3DOBJ(Set3DObj),
koui06.smf,0,SCENE3DOBJ(Set3DObj),
koui07.smf,0,SCENE3DOBJ(Set3DObj),
koui08.smf,0,SCENE3DOBJ(Set3DObj),
to_kigyo.smf,0,SCENE3DOBJ(Set3DObj),
to_higashi.smf,0,SCENE3DOBJ(Set3DObj),
k_joshi.smf,0,SCENE3DOBJ(Set3DObj),
ota_n_00.smf,0,SCENE3DOBJ(Set3DObj),
ota_n_01.smf,0,SCENE3DOBJ(Set3DObj),
ota_n_02.smf,0,SCENE3DOBJ(Set3DObj),
